,Package Handler,Driver Helper,Package Delivery Driver,Warehouse Associate,Automotive Mechanic,Facilities Mechanic,Feeder Driver,UPS Freight Over-the-Road (OTR) Driver,Part-Time Operations Supervisor,Business Analyst,Sales Representative,,,
Air Force,Y,Y,Y,,,,,,,,Y,1C6X1,Space Systems Operations,"Detected, identified and maintained surveillance on low orbiting and deep space satellite vehicles. Explored new space surveillance technologies, developed new space operational procedures and employed new surveillance sensors. "
Air Force,Y,Y,Y,,,,,,,,Y,1C7X1,Airfield Management,"Procured, maintained and produced information on safe operation of aircraft through the national and international airspace system. Inspected airfields. Planned and coordinated airfield construction. "
Air Force,Y,Y,Y,,,,,,,,Y,1N0X1,Operations Intelligence,"Prepared, maintained and presented intelligence displays, reports and briefings. Developed mission planning and execution support materials. Assembled maps and charts."
Air Force,Y,Y,Y,,,,,,,,Y,1N1X1,Imagery Analysis,Analyzed terrain to determine trafficability and identify landing zones. Performed precise mensuration of multisensor imagery to determine geographic location and vertical and horizontal measurements of objects. 
Air Force,Y,Y,Y,,,,,,,,Y,1N2X1,Communication Signals Intelligence Production,"Acquired, processed, identified, analyzed and reported on electromagnetic emissions. Operated complex equipment and systems to exploit and capture signals intelligence production efforts. Used graphic reproductions to determine internal characteristics of signals and to discern communications structures and usage. Processed signals. Extracted electromagnetic emissions from real-time and recorded media, and performed technical and data analysis."
Air Force,Y,Y,Y,,,,,,,,Y,1N3XX,Cryptologic Linguist,"Performed and supervised recording, transcribing, translating, analyzing and reporting of assigned voice communications. Operated and managed operation of communications equipment. Operated radio receivers, recording equipment, keyboards, computer systems and related equipment to gather information from foreign nationals. Executed  frequency search missions to locate and monitor stations. Monitored and recorded communications, adding appropriate comments to assist in transcription and analysis. Translated spoken or written material from one language to another. Recognized essential elements of information for reporting activity. Assisted analysts in identifying, analyzing and reporting activities."
Air Force,Y,Y,Y,,,,,,,,Y,1N4X1,Network Intelligence Analysis,"Recovered, correlated and fused technical, geographical and operational information. Identified and disseminated real-time threat warning information. "
Air Force,Y,Y,Y,,,,,,,,Y,1N5X1,Electronic Signals Intelligence Exploitation,"Operated electronic monitoring, analysis and related equipment. Analyzed, processed and derived intelligence from electromagnetic transmissions. Operated electronic search and related equipment. Searched and exploited signal activity and operated electromagnetic receiving and recording systems to monitor, acquire, collect and exploit transmissions."
Air Force,Y,Y,Y,,,,,,,,Y,1N6X1,Electronic System Security Assessment,"Analyzed and reported friendly telecommunications vulnerabilities. Established database requirements and maintained data on operations, telecommunications vulnerabilities and threat information. "
Air Force,Y,Y,Y,,,,,,,,Y,1P0X1,Aircrew Equipment,"Inspected, maintained, packed and adjusted aircrew flight equipment such as flight helmets, oxygen masks, parachutes, flotation devices, survival kits, helmet mounted devices and anti-G garments. "
Air Force,Y,Y,Y,,,,,,,,Y,1T0X1,"Survival, Evasion, Resistance and Escape Operations","Planned, organized, directed and conducted survival training activities. Ensured student safety. Conducted classroom, laboratory and operational training. "
Air Force,Y,Y,Y,,,,,,,,Y,1T2X1,Pararescue,Recovered downed and injured aircrew members in austere and nonpermissive environments. Provided emergency medical treatment to stabilize and evacuate injured personnel from extreme danger. Served as aircrewman on fixed- and rotary-wing aircraft while following rescue duties. Provided contingency landing sites for NASA missions.
Air Force,Y,Y,Y,,,,,,Y,,Y,1S0X1,Safety,"Directed and organized safety activities. Developed policies and procedures for implementing and evaluating safety programs. Liaised with federal, state, municipal and private agencies sharing common safety concerns. "
Air Force,Y,Y,Y,,,,,,,,Y,1U0X1,Unmanned Aerospace System (UAS) Sensor Operator,"Operated and directed airborne sensors in manual or computer-assisted modes to actively and/or passively acquire, track and monitor airborne, maritime and ground objects. Assisted in air navigation and laser target marking systems to provide target identification. Performed mission-planning activities in accordance with theater rules of engagement. Evaluated capabilities of performance and reported data to supervisors."
Air Force,Y,Y,Y,,,,,,,,Y,1W0X1,Weather,"Forecasted atmospheric and space weather conditions. Issued warnings and advisories to alert users as necessary. Ensured the standardization of quality weather products, operations and activities. "
Air Force,Y,Y,Y,,,,,,,,Y,1W0X2,Special Operations Weather (Combat Weather),"Provided tailored weather analyses and forecasts and predicted the weather's impact on missions. Operated atmospheric, oceanographic, space, terrestrial, riverine and littoral environmental equipment."
Air Force,Y,Y,Y,,,,,,,,Y,7S0X1,Special Investigations,"Conducted criminal, fraud, counterintelligence, personal background and technical services investigations and special inquiries. Managed special investigations activities. Worked closely with local, state and federal law enforcement officials."
Air Force,Y,Y,Y,,,,,,,,Y,3D0X1,Knowledge Operations Management,"Managed the process of planning, coordinating, sharing and controlling the organization's data assets. Conducted information analyses to determine proper flow and life-cycle management of information, regardless of medium. "
Air Force,Y,Y,Y,,,,,,,,Y,3D0X2,Cyber Systems Operations,"Designed, configured, installed and managed data services at the operating system and server application level. Developed, tested and implemented local restoral and contingency operations plans. "
Air Force,Y,Y,Y,,,,,,,,Y,3D0X3,Cyber Surety,Conducted information assurance risk and vulnerability assessments. Supervised and performed activities such as detection and protection of IT resources using information assurance and associated tools.
Air Force,Y,Y,Y,,,,,,,,Y,3D0X4,Computer Systems Programming,"Ensured computer system compliance with directives and standards for security and interoperability. Analyzed and developed requirements for software systems through interpreting standards, specifications and user needs. "
Air Force,Y,Y,Y,,,,,,,,Y,3D1X1,Client Systems,"Sustained, troubleshot and repaired standard voice, data, video network and cryptographic client devices in fixed and deployed environments. Managed client user accounts and organizational client device accounts."
Air Force,Y,Y,Y,,,,,,,,Y,3D1X2,Cyber Transport,"Served as subject matter expert in computer network hardware and communication equipment. Personnel deploy, sustain, troubleshoot and repair of standard voice, data and video network infrastructure systems, IP detection systems, and cryptographic equipment. Performed, coordinated, integrated and supervised network design, configuration, operation, defense, restoration and improvements."
Air Force,Y,Y,Y,,,,,,,,Y,3D1X3,RF Transmission Systems,"Oversaw, established and maintained circuits; configured/managed system and network connectivity. Performed/supervised wireless radio and satellite systems and equipment maintenance. Oversaw work in progress and reviewed completed repairs for sound maintenance practices. Established requirements for maintenance equipment, support equipment, tools and spare parts. Identified maintenance problem areas and recommended corrective action. Developed and enforced safety standards for ground RF system maintenance activities."
Air Force,Y,Y,Y,,,,,,,,Y,3D1X4,Spectrum Operations,"Identified interference and coordinated countermeasures to neutralize effects, as well as analyzed spectrum requirements to determine compatibility, system specifications, antenna data, emission characteristics and propagation modes. Deployed in small teams to provide electronic attack, jamming, deception and theater-level spectrum management. Reviewed involved, unusual and difficult spectrum engineering requirements. Recommended solutions to electromagnetic compatibility problems."
Air Force,Y,Y,Y,,,,,,,,Y,3D1X5,Radar,"Installed, maintained and repaired air traffic control, weather, ground aircraft control and warning radar systems and related subsystems. Operated electronic test equipment."
Air Force,Y,Y,Y,,,,,,,,Y,3D1X6,Airfield Systems,"Set up, removed, relocated, modified, deployed and maintained meteorological, navigational and air traffic control ground-to-air radio systems. Supervised airfield systems maintenance activities."
Air Force,Y,Y,Y,,,,,,,,Y,3D1X7,Cable and Antenna Systems,"Installed, maintained, reconstituted, removed and modified copper core, coaxial, waveguide and fiber optic cable and antenna systems. Set up and maintained dedicated local area and wide area network media distribution systems. "
Air Force,Y,Y,Y,,,,,,,,Y,3H0X1,Historian,"Provided historical research and reference services. Performed research, interviewed personnel and prepared analytical historical publications. Assembled and maintained historical document repositories for reference and research. Performed and managed historical activities, programs and functions. "
Air Force,Y,Y,Y,,,,,,,,Y,3M0X1,Services,"Staffed and managed USAF dining facilities, housing offices, dormitories and linen exchange. Managed, staffed and oversaw recreation and fitness centers, community activity centers, base hobby shops, and outdoor recreation areas, such as marinas and beaches."
Air Force,Y,Y,Y,,,,,,,,Y,3N0X1,Public Affairs,"Planned, organized, coordinated and conducted communications activities and internal, community and media relations activities. Prepared and released news for internal and civilian media; arranged and conducted tours; and conducted community relations activities. Prepared, edited and distributed collateral material. Expertise determined best medium and message content to reach target audiences. Established, managed and oversaw the unit public affairs program to provide the widest coverage of unit-level policies, programs and missions."
Air Force,Y,Y,Y,,,,,,,,Y,3N0X2,Radio and Television Broadcasting,"Prepared informational materials for media. Identified and selected newsworthy events. Produced radio and television scripts, narrations, spot announcements, and news and sports broadcasts. "
Air Force,Y,Y,Y,,,,,,,,Y,3N1X1,Regional Band,"Planned, organized, directed and inspected band activities. Analyzed local musical requirements and provided appropriate services. Planned and scheduled activities such as rehearsals, drills, training classes and performances. "
Air Force,Y,Y,Y,,,,,,,,Y,3N2X1,Premier Band,"Planned, organized, directed and inspected band activities. Analyzed local musical requirements and provided appropriate services. Planned and scheduled activities such as rehearsals, drills, training classes and performances. "
Air Force,Y,Y,Y,,,,,,,,Y,3P0X1,Security Forces,"Led, managed, supervised and performed protection duties, including use of deadly force to protect personnel and resources. Provided armed responses. Detected and reported presence of unauthorized personnel and activities. "
Air Force,Y,Y,Y,,,,,,,,Y,3E0X1,Electrical Systems,"Installed, inspected, maintained, troubleshot, repaired and modified electrical distribution systems and components above and below 600 volts; airfield lighting systems; fire alarms and intrusion detection systems. Complied with environmental and safety regulations and practices. Climbed utility poles and operated special-purpose vehicles and equipment, including line maintenance and high-reach trucks to inspect, maintain and repair overhead distribution systems."
Air Force,Y,Y,Y,,,,,,,,Y,3E0X2,Electrical Power Production,"Set up, removed and operated electrical power generating and control systems, automatic transfer switches, aircraft arresting systems and associated equipment. Certified aircraft arresting systems as required. "
Air Force,Y,Y,Y,,,,,,,,Y,3E1X1,"Heating, Ventilation, Air Conditioning and Refrigeration","Installed and operated HVAC/R systems and equipment. Ensured compliance with safety and environmental regulations for fuels, refrigerants and hazardous materials. Troubleshot malfunctions and repairs and replaced components."
Air Force,Y,Y,Y,,,,,,,,Y,3E2X1,Pavements and Construction Equipment,"Planned, constructed and repaired airfield pavements, roads, streets and other improved areas using paving and surfacing procedures. Conducted study of existing soil, aggregate, asphalt and concrete samples via laboratory tests. Interpreted construction drawings and surveys, inspected pavements for surface, base and sub-base damage or defects. Determined damaged or defective areas to repair. Evaluated status and determined material and equipment requirements for cost estimates."
Air Force,Y,Y,Y,,,,,,,,Y,3E3X1,Structural,"Managed, constructed, repaired and modified structural systems and wooden, masonry, metal and concrete buildings. Fabricated and repaired components of buildings, utility systems and real property equipment. "
Air Force,Y,Y,Y,,,,,,,,Y,3E4X2,Water and Fuels Systems Maintenance,"Set up, inspected, repaired and managed plumbing, water distribution, wastewater collection systems, fire suppression and backflow prevention systems. Complied with environmental and safety regulations. "
Air Force,Y,Y,Y,,,,,,,,Y,3E4X3,Pest Management,Conducted integrated pest management functions. Determined pest management actions needed to control and prevent infestations of plant and animal pests. Interacted with medical experts to control health hazards.
Air Force,Y,Y,Y,,,,,,,,Y,3E5X1,Engineering,"Directed and performed civil engineering design, drafting, surveying and contract surveillance to support facility construction and maintenance programs. Evaluated potential construction sites and performed field tests . "
Air Force,Y,Y,Y,,,,,,,,Y,3E6X1,Operations Management,"Implemented and managed the customer satisfaction program. Responded to customer inquiries. Prepared and managed work requirements during approval, processing and completion stages. "
Air Force,Y,Y,Y,,,,,,,,Y,3E7X1,Fire Protection,"Protected people, property and the environment from fires and disasters. Provided fire prevention, firefighting, rescue and hazardous material responses. Planned, directed and organized all fire protection activities. Provided fire protection guidance. Coordinated fire protection support agreements and pre-incident plans. Executed and enforced the Fire Department Occupational Safety and Health Program. Conducted and evaluated training on specialized fire protection equipment and procedures."
Air Force,Y,Y,Y,,,,,,,,Y,3E8X1,Explosive Ordnance Disposal,"Served as a member of emergency response team. Helped detect, monitor, evaluate and decontaminate hazards. Identified, saved, removed and disposed of ordnance from crashed aircraft and explosive-carrying vehicles."
Air Force,Y,Y,Y,,,,,,,,Y,3E9X1,Emergency Management,Conducted research and assisted in developing disaster preparedness plans including measures to minimize casualties and damage from natural disasters and major accidents. Prepared readiness checklists and instructions.
Air Force,Y,Y,Y,,,,,,,,Y,3S0X1,Personnel,"Supervised and performed HR functions. Completed personnel action requests, sourced documents and master personnel records. Interviewed and classified personnel. Advised on career progression, benefits and dependents programs. Updated personnel data system (PDS) records. Managed retention programs, assisted personnel in making career decisions and advised on benefit programs. Ensured compliance with personnel policies, directives and procedures. "
Air Force,Y,Y,Y,,,,,,,,Y,3S1X1,Military Equal Opportunity,"Promoted an environment where individuals were treated with dignity and worth regardless of race, color, religion, national origin or sex. Provided education, mediation and referral services to enhance organizational effectiveness. "
Air Force,Y,Y,Y,,,,,,,,Y,3S2X1,Education and Training,"Developed, delivered and evaluated education and training programs. Applied instructional system development processes. Collected and analyzed job performance data and conducted occupational analysis surveys. "
Air Force,Y,Y,Y,,,,,,,,Y,3S3X1,Manpower,Evaluated organization structures for effectiveness and efficiency. Performed organizational analysis and developed organization change requests. Prepared organization and functional charts.
Air Force,Y,Y,Y,,,,,,,,Y,3V0X0,Visual Information Services,"Managed and directed visual information, graphics, videography, still media and production activities. Performed advisory, inspection and staff functions involved with effective management, control and use of visual information resources and services."
Air Force,Y,Y,Y,,,,,,,,Y,3V0X1,Visual Information,"Designed and prepared graphic images, special displays and exhibits. Developed graphic products for direct viewing, printing, photography and televised presentation. Prepared sequential artwork. "
Air Force,Y,Y,Y,,,,,,,,Y,3V0X2,Still Photography,"Created, processed or supervised still, continuous and computer-generated imagery. Captured, enhanced, printed and/or transmitted images via satellite, telephone or secure transmission systems. Acquired imagery in controlled, uncontrolled and combat environments. Created and acquired combat documentation, investigative, informational and other imagery, including computer imagery. Obtained and prioritized data, wrote captions and covered stories. Selected and cropped pictures for layouts and picture stories. Coordinated with pilots and aircrew on mission requirements for proper aircraft positioning. Set up and operated stabilized camera mounts and ancillary lighting systems on aircraft. "
Air Force,Y,Y,Y,,,,,,,,Y,3V0X3,Visual Information Production-Documentation,"Supervised and completed aerial and ground camera assignments. Determined equipment requirements, researched subject matter and established shooting outlines. Coordinated with pilots to ensure proper aircraft positioning. "
Air Force,Y,Y,Y,,,,,,,,Y,4B0X1,Bioenvironmental Engineer,"Managed engineering projects to ensure healthy work conditions and protect the environment. Assessed potential health risks and harmful effects from chemical, biological and radiological hazards and from aircraft emissions. Developed plans and programs to prevent injuries and illnesses in the workplace."
Army,Y,Y,Y,,,,Y,Y,,,Y,88M,Motor Transport Operator,"Supervised and operated wheeled vehicles to transport personnel and cargo. Operated all wheeled vehicles and equipment over any roadway. Managed load, unload and safety of personnel being transported. Oversaw and checked proper loading and unloading of cargo on vehicles and trailers. Prepared vehicles for movement/shipment by air, rail or vessel."
Army,Y,Y,Y,,,,Y,Y,Y,,Y,88O,Transportation Officer,"Moved supplies, personnel and equipment all over the globe. Utilized trucks, boats and airplanes to provide quickest support."
Army,Y,Y,Y,,,,Y,Y,Y,,Y,88Z,Transportation Senior Sergeant,"Supervised the operation and control of movement for personnel and cargo by air, rail, motor transport and water. Managed and coordinated the operation and maintenance of Army watercraft. Assisted in the coordination and implementation of operations, administration, training programs and communications activities. Consolidated, prepared, reviewed and processed regular and special reports of transportation."
Army,Y,Y,Y,,Y,Y,,,,,Y,15R,AH-64 Attack Helicopter Repairer,"Removed, installed and managed airplane assemblies such as engines, rotors, gearboxes, transmissions, mechanical flight controls and their components. Performed scheduled inspections and assisted in performing special inspections. Prepared forms and records related to aircraft maintenance. Provided technical guidance to subordinate personnel. Performed operational checks. Diagnosed and troubleshot malfunctions in aircraft subsystems."
Army,Y,Y,Y,,,,,,,,Y,15X,AH-64A Armament and Electrical System Repairer,"Ensured aviation maintenance was performed to standard and completed in a timely manner. Primarily responsible for all systems as well as all parts (electronic, manual and pneudraulic) of the fire control systems."
Army,Y,Y,Y,,Y,Y,,,,,Y,15Y,AH-64D Armament/Electrical/Avionics Repairer,"Supervised and inspected maintenance performed on electrical aviation units to include the electrical, electronic, mechanical and pneudraulic systems associated with fire control systems."
Army,Y,Y,Y,,,,,,Y,,Y,14O,Air Defense Artillery Officer,"Led and directed the Air Defense Artillery (ADA) from aerial, missile and enemy attack. Expert in air defense systems, tactics, techniques and procedures. Responsible for the tactical employment, command and control, and the airspace management of both gun and missile units of ADA. Directed training, administration, communications, supply, maintenance, transportation and security activities of ADA units. Planned and developed organizational and operational concepts for air defense systems."
Army,Y,Y,Y,,,,,,Y,,Y,14Z,Air Defense Artillery Senior Sergeant,"Provided leadership and oversight to those concerned with the training and tactical reconnaissance units. Evaluated intelligence, estimated situations, formulated courses of action and made decisions. Commanded attached elements. Directed communications, location and construction for equipment. Directed operations, training, administration, supply maintenance, transportation and security activities of the team."
Army,Y,Y,Y,,,,,,,,Y,94D,Air Traffic Control Equipment Repairer,"Performed and supervised field-level maintenance and installation of air traffic control (ATC) communications, navigation aids and landing systems to prolong and sustain equipment. Directed and performed testing of instruments, navigational controls and simulators using state-of-the-art electronic and electrical test equipment. Installed ATC/navigation systems, performed quality control measures and maintained all ATC systems."
Army,Y,Y,Y,,,,,,,,Y,15Q,Air Traffic Control Operator,"Managed and controlled all terminal air traffic by use of visual, radar and nonradar means. Supervised and managed air traffic control (ATC) facilities, staff and aircraft. Initiated and issued ATC clearances, instructions and advisories to ensure the safe, orderly flow of air traffic operating under instrument and VFR. Planned, organized, directed, inspected and evaluated ATC activities. "
Army,Y,Y,Y,,,,,,,,Y,15K,Aircraft Components Repair Supervisor,"Supervised aviation unit and team members. Oversaw intermediate and depot maintenance on aircraft components, aviation communications, and other electronic/electrical systems associated with all aircraft. Knowledgeable of all job specifications that relate to aircraft. An experienced supervisor of team members."
Army,Y,Y,Y,,Y,Y,,,,,Y,15F,Aircraft Electrician,"Supervised, inspected and performed maintenance on aircraft electrical systems. Ensured that the electrical systems on airplanes and helicopters were properly maintained and repaired. Diagnosed malfunctions in electrical and electronic components. Maintained electrical/electronic elements of nickel-cadmium battery assemblies. Maintained facilities for storage of flammable and hazardous materials."
Army,Y,Y,Y,,Y,Y,,,Y,,Y,15Z,Aircraft Maintenance Senior Sergeant,"Prepared studies, evaluations, special reports and records pertaining to aircraft maintenance, component repair and related activities. Supervised, verified and validated technical manuals, training devices and contractor-furnished training material. Supervised research and development projects in aviation and related areas. Recommended and established plans, policies and procedures for aircraft maintenance operations."
Army,Y,Y,Y,,Y,Y,,,,,Y,15H,Aircraft Pneudraulics Repairer,Led and inspected maintenance on aviation systems. Performed aviation systems maintenance work.
Army,Y,Y,Y,,Y,Y,,,,,Y,15B,Aircraft Powerplant Repairer,Managed and inspected maintenance on aviation turbine engines and components. Conducted aviation turbine engine and components maintenance work.
Army,Y,Y,Y,,Y,Y,,,,,Y,15D,Aircraft Powertrain Repairer,Directed and inspected maintenance on aircraft powertrain components. Completed all required aircraft powertrain maintenance work.
Army,Y,Y,Y,,Y,Y,,,,,Y,15G,Aircraft Structural Repairer,Organized and inspected maintenance on aviation structural components. Carried out all required aviation structural component work.
Army,Y,Y,Y,,Y,Y,,,,,Y,921A,Airdrop Systems Technician,Advised commanders and their staff on conducting and receiving airdrop operations. Directed maintenance of airdrop equipment. Removed unserviceable parachutes from inventory.
Army,Y,Y,Y,,,,,,,,Y,350F,All Source Intelligence Technician,Aggregated and organized information from different sources into a single finished product. Advised managers. Coordinated with intergovernmental organizations.
Army,Y,Y,Y,,,,,,,,Y,91E,Allied Trades Specialist (Machinist),"Supervised and often completed fabrications, repairs and modifications of metallic and nonmetallic parts in the metalworking shop. "
Army,Y,Y,Y,Y,,,,,,,Y,89B,Ammunition Specialist,"Responsible for receiving, storing and issuing of ordnance (conventional ammunition, guided missiles, large rockets, explosives, and other ammunition- and explosive-related items). Managed and performed maintenance, modification, destruction and demilitarization on ordnance and explosive components. Managed the ammunition supply stock control and accounting duties using both automated and manual procedures. Supervised and provided technical guidance to subordinate Soldiers in the accomplishment of their duties. Assisted in the logistical preparation and transportation of ammunition, ammunition components and explosives."
Army,Y,Y,Y,Y,,,,,,,Y,890A,Ammunition Technician,Investigated equipment accidents and malfunctions. Prepared contingency plans for equipment storage and security. Responsible for storage and issuance of equipment and associated components.
Army,Y,Y,Y,,,,,,,,Y,68T,Animal Care Specialist,Supervised the care and treatment of government-owned animals. Ensured all procedures were followed to prevent diseases transmitted from animals to humans.
Army,Y,Y,Y,,,,,,,,Y,45K,Armament Repairer,Managed and helped complete the maintenance and repairs of equipment and tools.
Army,Y,Y,Y,,,,,,Y,,Y,19O,Armor Officer,"Provided leadership and oversight to those concerned with the training and tactical reconnaissance units. Evaluated intelligence, estimated situations, formulated courses of action and made decisions. Commanded attached elements. Directed communications, location and construction for equipment. Directed operations, training, administration, supply maintenance, transportation and security activities of the team."
Army,Y,Y,Y,,,,,,Y,,Y,19Z,Armor Senior Sergeant,"Led personnel, operations and intelligence in operation in higher-level organizations. Planned, coordinated and supervised activities pertaining to organization, training and operations. Supervised operations center; collected, interpreted, analyzed, evaluated and disseminated information and data. Coordinated implementation of operations, training programs and communications activities."
Army,Y,Y,Y,,Y,Y,,,,,Y,63D,Artillery Mechanic,Led and performed unit maintenance of all self-propelled field artillery cannon weapon systems including fire control and chemical protection subsystems.
Army,Y,Y,Y,Y,,,,,,,Y,92A,Automated Logistical Specialist,"Established and maintained stock records and other documents such as inventory, material control, accounting and supply reports in accordance with supply chain management protocols. Established and maintained automated and manual accounting records, posted receipts and turn-ins, and performed dues-ins and dues-outs accounting. "
Army,Y,Y,Y,,,,,,,,Y,39B,Automatic Test Equipment Operator and Maintainer,Led maintenance projects on equipment. Managed repair facility. Performed electronic equipment tests.
Army,Y,Y,Y,,Y,Y,,,Y,,Y,915A,Automotive Maintenance Warrant Officer,Planned and performed maintenance on vehicles and other powered equipment. Directed dispatch of available vehicles. Wrote and maintained Standard Operating Procedures (SOPs).
Army,Y,Y,Y,,,,,,,,Y,14S,AVENGER Crewmember,"Trained and certified in visual recognition, vehicle recognition and hull systems. Operated, maintained and engaged Stinger Computer System loader- and driver-specific duties, communications. Trained to safely operate the vehicle crisis environment, and Preventive Maintenance Checks and Services (PMCS) on the BSFV and Linebacker. Other subjects covered included operating technologies, map reading and scouting techniques."
Army,Y,Y,Y,,,,,,,,Y,27T,AVENGER System Repairer,"Supervised, inspected and performed maintenance on specialized equipment."
Army,Y,Y,Y,,,,,,Y,,Y,15O,Aviation Officer,"Directed and coordinated the aviation units in support of operations. Provided expertise to senior leadership to develop doctrine and plans essential to a successful aviation system. Directed training, safety, administration, communications, supply maintenance, transportation and security activities of units."
Army,Y,Y,Y,,,,,,,,Y,15P,Aviation Operations Specialist,"Responsible for scheduling, dispatching and operating one of the largest fleets of aircraft in the world, managing to keep them running safely, on time and efficiently. Processed local and cross-country flight clearances, checked accuracy of flight plans, maintained flight logs on incoming/outgoing flights and individual flight records, and interpreted and posted weather reports."
Army,Y,Y,Y,,,,,,,,Y,94L,Avionic Communications Equipment Repairer,Completed maintenance on aircraft communications equipment. Carried out complete rebuilds of equipment whenever feasible.
Army,Y,Y,Y,,Y,Y,,,,,Y,15N,Avionic Mechanic,Performed various maintenance procedures on useful communications equipment.
Army,Y,Y,Y,,,,,,,,Y,94R,Avionic Radar Repairer,Conducted maintenance on specialized equipment. Carried out complete rebuilds of equipment whenever feasible.
Army,Y,Y,Y,,,,,,Y,,Y,02Z,Bands Senior Sergeant,Accomplished musician of renown. Performed duties with high levels of skill and provided technical guidance to lower-grade personnel. Advised the commander on all aspects of band operations and served as the band commander in the absence of the band commander. Was the most senior enlisted member of the band and the principal enlisted conductor.
Army,Y,Y,Y,,,,,,,,Y,02C,Baritone or Euphonium Player,Led the brass instrumental section of a band. Participated as a brass musician in the band.
Army,Y,Y,Y,,,,,,,,Y,02K,Bassoon Player,Oversaw the woodwind instrumental section of a band. Participated as a woodwind musician in the band.
Army,Y,Y,Y,,,,,,,,Y,68A,Biomedical Equipment Specialist,Primarily responsible for servicing and maintaining all medical equipment. Performed preventive maintenance checks and serviced all medical equipment. Troubleshot to isolate malfunctioning or defective components and/or boards. Computed power and space requirements for installation of medical equipment and installed units to manufacturers' specifications. Prepared and submitted medical equipment reports. Performed quality control functions at all levels of medical maintenance. Supervised and advised subordinate personnel.
Army,Y,Y,Y,,,,,,,,Y,14R,Bradley Linebacker Crewmember,"Trained and certified in visual recognition and multi-unit vehicle recognition. Operated, maintained and engaged the computer-operated weapons system. Performed load and drive duties and communications. Operated the vehicle in an NBC environment; performed Preventive Maintenance Checks and Services (PMCS) on the vehicle. Managed and supervised a vehicle and its associated equipment."
Army,Y,Y,Y,,,,,,,,Y,21C,Bridge Crewmember,Led a group to provide conventional and powered bridge and rafting support. Served and assisted with crossing procedures as necessary.
Army,Y,Y,Y,,,,,,,,Y,46R,Broadcast Journalist,"Created and directed the filming, reporting and editing news for radio and television programs. Researched, prepared and disseminated information through news releases, radio and television products. Prepared and created scripts and news copy for Armed Forces Radio and Television Service. Performed as writer, reporter, editor, videographer, producer and program host. "
Army,Y,Y,Y,,,,,,,,Y,25L,Cable Systems lnstaller - Maintainer,"Installed, operated and performed maintenance on cable and wire communications systems, devices and associated equipment. Completed preventive maintenance checks on assigned vehicles and generators."
Army,Y,Y,Y,,,,,,,,Y,13B,Cannon Crewmember,"Key member of a crew that operated high-technology weapon systems, including high-explosive artillery rounds, laser-guided projectiles, scatterable mines and rocket-assisted projectiles. Used computer-generated fire direction data to set elevation of cannon tube for loading and firing. Drove and operated heavy vehicles, and transported and managed artillery ammunition. Coordinated troops into position. Maintained operational readiness of vehicles and equipment."
Army,Y,Y,Y,,,,,,,,Y,13E,Cannon Fire Direction Specialist,"Led, supervised and served as a member of a fire direction element or operations section of a field artillery cannon unit. Established, maintained and operated the backup computer and wire/radio communications and computation of firing data. Constructed and operated firing charts. Compiled lists and prepared target overlays, as well as situation and fire capability overlays. Operated and performed operator maintenance on section vehicles and generators. Performed crew maintenance and participated in organizational maintenance of section equipment."
Army,Y,Y,Y,,,,,,,,Y,88H,Cargo Specialist,"Directed the transfer of passengers and cargo via air, land and water. Enforced safety practices and documentation procedures. "
Army,Y,Y,Y,,,,,,,,Y,21W,Carpentry and Masonry Specialist,"Performed heavy carpentry, structural steel and masonry duties. Fabricated, erected, maintained and repaired rigging devices, trusses and other structural assemblies."
Army,Y,Y,Y,,,,,,,,Y,19D,Cavalry Scout,"Scouts are the eyes and ears on operation. Performed as crew member; operated and performed operator maintenance on all vehicles and communications equipment. Assisted in the recovery of wheeled and tracked vehicles. Supervised operator maintenance of tracked and wheeled scout vehicles, individual and crew. Selected, organized and supervised scout vehicle recovery operations. Trained scout vehicle crew. Supervised request, receipt, storage and issue of ammunition. Led scout vehicle crew."
Army,Y,Y,Y,,,,,,,,Y,27G,CHAPARRAL and REDEYE Repairer,Supervised maintenance activities on specialized equipment. Carried out maintenance efforts as necessary.
Army,Y,Y,Y,,,,,,,,Y,56O,Chaplain,"Provided spiritual leadership and well-being for the diverse needs of over 1,500 personnel and family members. Mentored and trained assistants."
Army,Y,Y,Y,,,,,,,,Y,56M,Chaplain Assistant,Performed specified elements of spiritual leadership and well-being for personnel and their families.
Army,Y,Y,Y,,,,,,,,Y,74D,Chemical Operations Specialist,"Highly trained expert in CBRN reconnaissance systems, biological detection systems (BIDS), obscurant systems, decontamination systems, and hazard detection and warning systems. Assisted in application of defense measures. Provided training and supervision regarding the proper use and procedures for CBRN equipment and operations. Trained local fire/police and civilian first responders on CBRN response operations. Operated and maintained CBRN detection and decontamination equipment."
Army,Y,Y,Y,,,,,,Y,,Y,74O,"Chemical, Biological, Radiological and Nuclear (CBRN) Officer","Commanded chemical unit platoon employing state-of-the-art chemical, biological, radiological and nuclear defense systems. Planned and directed vulnerability assessment, reconnaissance and force protection operations."
Army,Y,Y,Y,,,,,,Y,,Y,38O,Civil Affairs Officer,"Supported operations in friendly region. Identified critical requirements needed by local citizens to mitigate injury or incident and minimize civilian interference. Researched and coordinated the planning and production of civil affairs-related documents. Assisted with civil-military planning and support. Coordinated military resources to support reconstitution or reconstruction activities. Supported national disaster, defense or emergency assistance and response activities. Fostered and maintained dialogue with host nations."
